,rate,type,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01
"< 25,000 - City of Los Angeles - Communities",,,,,32.0,,,,,,,,,,,,,,
"< 25,000 - County Los Angeles - Unincorporated Areas, Cities and Communities",,,,,30.0,,,,,,,,,,,,,,
"< 25,000 - Los Angeles City (Neighborhood)",,,11.0,18.0,,,,,,,,,,,,,,,
"< 25,000 - Other City in Los Angeles County (City)",,,,9.0,,,,,,,,,,,,,,,
Acton,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Adams-Normandie,94.26,Los Angeles,,,,,,,,,,,,--,,--,--,5,8
Agoura Hills,47.24,City,,,,,,,,1.0,3.0,3.0,5.0,6,9.0,9,9,11,10
Agua Dulce,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Alhambra,14.99,City,2.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,5.0,6.0,8.0,8,10.0,10,11,13,13
Alsace,--,Los Angeles,,,,,,,,,,,,--,,--,--,--,--
Altadena,32.97,Unincorporated,,1.0,,,2.0,3.0,3.0,5.0,5.0,5.0,6.0,9,10.0,10,10,12,14
Anaverde,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Angeles National Forest,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Angelino Heights,0,Los Angeles,,,,,,,,,,,,0,0.0,0,0,0,0
Arcadia,0,Unincorporated,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,6.0,0,0.0,0,0,0,0
Arleta,19.94,Los Angeles,,,,,,,,,,1.0,2.0,2,4.0,5,5,7,7
Artesia,--,City,,,,,,,,,,,,--,,--,--,--,--
Athens,,,,,,,,,1.0,1.0,1.0,1.0,3.0,,,,,,
Athens Village,--,Unincorporated,,,,,,,,,,,,0,0.0,0,0,--,--
Athens-Westmont,31.22,Unincorporated,,,,,,,,,,,,5,7.0,7,7,11,13
Atwater Village,--,Los Angeles,,,,,,,,,,,,0,,--,--,--,--
Avalon,0,City,,,,,,,,,,,,0,0.0,0,0,0,0
Avocado Heights,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Azusa,0,Unincorporated,,,,,,,,,,,1.0,0,0.0,0,0,0,0
Azuza,,City,,,,,,,,,,,,,,2,3,,
Baldwin Hills,43.34,Los Angeles,,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,5,7.0,9,9,11,13
Baldwin Park,4.03,City,,,,,,,,,,,,0,0.0,0,0,2,3
Bandini Islands,,Unincorporated,,,,,,,,,,,,,0.0,,,,
Bassett,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Bel Air,146.02,Los Angeles,,,,,,,,,,,,6,8.0,9,9,11,12
Bell,32.79,City,,,,,,,,,,,2.0,4,5.0,6,11,12,12
Bell Gardens,11.68,City,,,,,,,,,,3.0,3.0,1,1.0,1,2,4,5
